time_iso8601,clones_total,clones_unique,views_total,views_unique
2026-04-13 00:00:00+00:00,10,5,11,3
2026-04-14 00:00:00+00:00,9,3,0,0
2026-04-15 00:00:00+00:00,30,9,0,0
2026-04-16 00:00:00+00:00,10,6,1,1
2026-04-17 00:00:00+00:00,32,10,1,1
2026-04-18 00:00:00+00:00,19,7,0,0
2026-04-19 00:00:00+00:00,30,11,0,0
2026-04-20 00:00:00+00:00,49,18,1,1
2026-04-21 00:00:00+00:00,68,25,1,1
2026-04-22 00:00:00+00:00,97,29,0,0
2026-04-23 00:00:00+00:00,76,23,16,2
2026-04-24 00:00:00+00:00,78,27,0,0
2026-04-25 00:00:00+00:00,72,23,0,0
2026-04-26 00:00:00+00:00,66,17,0,0
