time_iso8601,clones_total,clones_unique,views_total,views_unique
2026-01-21 00:00:00+00:00,2,2,3,2
2026-01-22 00:00:00+00:00,10,5,2,2
2026-01-23 00:00:00+00:00,8,3,8,3
2026-01-24 00:00:00+00:00,20,7,1,1
2026-01-25 00:00:00+00:00,14,6,5,1
2026-01-26 00:00:00+00:00,3,3,0,0
2026-01-27 00:00:00+00:00,4,3,2,2
2026-01-28 00:00:00+00:00,15,7,0,0
2026-01-29 00:00:00+00:00,14,6,1,1
2026-01-30 00:00:00+00:00,21,9,0,0
2026-01-31 00:00:00+00:00,4,4,0,0
2026-02-01 00:00:00+00:00,15,7,0,0
2026-02-02 00:00:00+00:00,7,3,1,1
2026-02-03 00:00:00+00:00,4,4,0,0
