time_iso8601,clones_total,clones_unique,views_total,views_unique
2026-09-07 00:00:00+00:00,23,7,3,1
2026-09-08 00:00:00+00:00,19,11,2,2
2026-09-09 00:00:00+00:00,5,5,0,0
2026-09-10 00:00:00+00:00,6,6,0,0
2026-09-11 00:00:00+00:00,18,7,0,0
2026-09-12 00:00:00+00:00,5,5,2,2
2026-09-13 00:00:00+00:00,13,8,1,1
2026-09-14 00:00:00+00:00,4,4,0,0
2026-09-15 00:00:00+00:00,4,4,6,2
2026-09-16 00:00:00+00:00,2,2,12,2
2026-09-17 00:00:00+00:00,13,8,0,0
2026-09-18 00:00:00+00:00,2,2,2,1
2026-09-19 00:00:00+00:00,6,5,0,0
2026-09-20 00:00:00+00:00,19,10,1,1
