time_iso8601,clones_total,clones_unique,views_total,views_unique
2026-04-25 00:00:00+00:00,72,23,0,0
2026-04-26 00:00:00+00:00,66,17,0,0
2026-04-27 00:00:00+00:00,21,7,0,0
2026-04-28 00:00:00+00:00,29,7,0,0
2026-04-29 00:00:00+00:00,19,6,0,0
2026-04-30 00:00:00+00:00,19,6,1,1
2026-05-01 00:00:00+00:00,37,9,3,2
2026-05-02 00:00:00+00:00,15,5,0,0
2026-05-03 00:00:00+00:00,36,11,0,0
2026-05-04 00:00:00+00:00,13,3,0,0
2026-05-05 00:00:00+00:00,14,4,3,2
2026-05-06 00:00:00+00:00,10,5,0,0
2026-05-07 00:00:00+00:00,9,5,0,0
2026-05-08 00:00:00+00:00,18,6,0,0
