time_iso8601,clones_total,clones_unique,views_total,views_unique
2026-05-28 00:00:00+00:00,14,5,0,0
2026-05-29 00:00:00+00:00,22,9,0,0
2026-05-30 00:00:00+00:00,12,7,0,0
2026-05-31 00:00:00+00:00,17,7,1,1
2026-06-01 00:00:00+00:00,20,7,0,0
2026-06-02 00:00:00+00:00,20,7,0,0
2026-06-03 00:00:00+00:00,4,4,0,0
2026-06-04 00:00:00+00:00,12,4,0,0
2026-06-05 00:00:00+00:00,3,3,0,0
2026-06-06 00:00:00+00:00,13,4,1,1
2026-06-07 00:00:00+00:00,27,9,0,0
2026-06-08 00:00:00+00:00,16,7,1,1
2026-06-09 00:00:00+00:00,9,4,4,3
2026-06-10 00:00:00+00:00,9,5,1,1
